"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","fullad","long","lat"
"1","December 31, 2015","Louisiana","New Orleans","1900 block of Amelia Street",0,6,"N/A","1900 block of Amelia Street ,  New Orleans ,  Louisiana","NA","NA"
"2","December 27, 2015","Tennessee","Jackson","North Parkway",0,4,"N/A","North Parkway ,  Jackson ,  Tennessee","-88.8176188","35.6486031"
"3","December 26, 2015","Pennsylvania","Philadelphia","4210 Macalester St",0,4,"N/A","4210 Macalester St ,  Philadelphia ,  Pennsylvania","NA","NA"
"4","December 25, 2015","Florida","Jacksonville","Franklin and Odessa",0,4,"N/A","Franklin and Odessa ,  Jacksonville ,  Florida","-81.6394057","30.3328796"
"5","December 25, 2015","Alabama","Mobile","785 Schillinger Rd S",0,4,"N/A","785 Schillinger Rd S ,  Mobile ,  Alabama","-88.2216179","30.6731365"
"6","December 21, 2015","California","San Leandro","14600 block of East 14th Street",0,4,"N/A","14600 block of East 14th Street ,  San Leandro ,  California","-122.1344693","37.7097918"
"7","December 20, 2015","North Carolina","Wilmington","11th and Castle Street",1,4,"N/A","11th and Castle Street ,  Wilmington ,  North Carolina","-77.9345553","34.2288726"
"8","December 20, 2015","Florida","Miami (Goulds)","21630 Southwest 120th Avenue",1,4,"N/A","21630 Southwest 120th Avenue ,  Miami (Goulds) ,  Florida","NA","NA"
"9","December 20, 2015","Florida","Miami-dade (county)","Northeast Seventh Avenue and Northeast 166th Street",0,4,"N/A","Northeast Seventh Avenue and Northeast 166th Street ,  Miami-dade (county) ,  Florida","-80.1862322","25.9277617"
"10","December 13, 2015","California","Los Angeles","5550 S. Flower Street",1,3,"N/A","5550 S. Flower Street ,  Los Angeles ,  California","-118.2826487","34.0158468"
"11","December 13, 2015","California","Huntington Beach","17000 block of Keelson Lane",0,4,"N/A","17000 block of Keelson Lane ,  Huntington Beach ,  California","-117.9907468","33.7115986"
"12","December 12, 2015","Georgia","Savannah","Whitaker Street",0,4,"N/A","Whitaker Street ,  Savannah ,  Georgia","-81.0976067","32.0671405"
"13","December 12, 2015","Illinois","Lovejoy (Brooklyn)","307 Jefferson St",1,3,"N/A","307 Jefferson St ,  Lovejoy (Brooklyn) ,  Illinois","-90.1684255","38.6573252"
"14","December 11, 2015","Maryland","Baltimore","5100 block of Park Heights Avenue",1,3,"N/A","5100 block of Park Heights Avenue ,  Baltimore ,  Maryland","-76.67506","39.3482879"
"15","December 11, 2015","Pennsylvania","Pittsburgh (Mount Oliver)","200 block of  Brownsville Road",0,4,"N/A","200 block of  Brownsville Road ,  Pittsburgh (Mount Oliver) ,  Pennsylvania","NA","NA"
"16","December 8, 2015","Ohio","Cincinnati (Fairmount)","2300 block of Baltimore Avenue",1,3,"N/A","2300 block of Baltimore Avenue ,  Cincinnati (Fairmount) ,  Ohio","NA","NA"
"17","December 6, 2015","Louisiana","Raceland","Market Street",1,3,"N/A","Market Street ,  Raceland ,  Louisiana","-90.6093227","29.719339"
"18","December 6, 2015","Nebraska","Omaha","North 108th Street and Military Road",2,3,"N/A","North 108th Street and Military Road ,  Omaha ,  Nebraska","-96.0814084","41.3138084"
"19","December 2, 2015","California","San Bernardino","1365 South Waterman Avenue",16,19,"N/A","1365 South Waterman Avenue ,  San Bernardino ,  California","-117.2776234","34.0755639"
"20","December 2, 2015","Georgia","Savannah","100 block of West 33rd Street",1,3,"N/A","100 block of West 33rd Street ,  Savannah ,  Georgia","-81.1000248","32.0607278"
"21","November 29, 2015","Illinois","Kankakee","648 E. Court St",0,5,"N/A","648 E. Court St ,  Kankakee ,  Illinois","-87.8579296","41.1193089"
"22","November 27, 2015","Colorado","Colorado Springs","3480 Centennial Blvd",3,9,"N/A","3480 Centennial Blvd ,  Colorado Springs ,  Colorado","NA","NA"
"23","November 27, 2015","California","Sacramento","7900 block of Florin Road",2,2,"N/A","7900 block of Florin Road ,  Sacramento ,  California","NA","NA"
"24","November 24, 2015","South Carolina","Horry (county)","1321 Colletta Court",0,4,"N/A","1321 Colletta Court ,  Horry (county) ,  South Carolina","-79.1396831","33.8706674"
"25","November 23, 2015","Ohio","Columbus","90 block of S. Terrace Avenue",4,1,"N/A","90 block of S. Terrace Avenue ,  Columbus ,  Ohio","-83.0663712","39.9533603"
"26","November 23, 2015","Minnesota","Minneapolis","Morgan Avenue North",0,5,"N/A","Morgan Avenue North ,  Minneapolis ,  Minnesota","-93.3046532","45.0312886"
"27","November 22, 2015","Texas","Brownsville","1800 block of FM 802",0,4,"N/A","1800 block of FM 802 ,  Brownsville ,  Texas","-97.4066538","25.924811"
"28","November 22, 2015","Washington","Seattle","Broadway and Pike",0,4,"N/A","Broadway and Pike ,  Seattle ,  Washington","NA","NA"
"29","November 22, 2015","New York","Newburgh","203 Broadway",0,5,"N/A","203 Broadway ,  Newburgh ,  New York","NA","NA"
"30","November 22, 2015","South Carolina","North Charleston","Park Circle",1,3,"N/A","Park Circle ,  North Charleston ,  South Carolina","-79.9862054","32.8805716"
"31","November 22, 2015","Illinois","Chicago","4100 block of West Roosevelt",0,4,"N/A","4100 block of West Roosevelt ,  Chicago ,  Illinois","-87.6902071","41.8668503"
"32","November 22, 2015","Louisiana","New Orleans","1900 block of Gallier Street",0,17,"N/A","1900 block of Gallier Street ,  New Orleans ,  Louisiana","NA","NA"
"33","November 21, 2015","Maryland","Baltimore","Stricker and School",1,3,"N/A","Stricker and School ,  Baltimore ,  Maryland","-76.6419338","39.3057902"
"34","November 20, 2015","Pennsylvania","Pittsburgh","Prospect Drive",1,3,"N/A","Prospect Drive ,  Pittsburgh ,  Pennsylvania","-80.0352667","40.5089714"
"35","November 18, 2015","California","Fresno","California Avenue and Martin Luther King Jr. Boulevard",0,5,"N/A","California Avenue and Martin Luther King Jr. Boulevard ,  Fresno ,  California","NA","NA"
"36","November 16, 2015","Alabama","Cherokee (county)","1400 block of County Road 664",3,1,"N/A","1400 block of County Road 664 ,  Cherokee (county) ,  Alabama","-85.6933245","34.2313351"
"37","November 15, 2015","Pennsylvania","Philadelphia","5600 block of Blakemore Street",0,4,"N/A","5600 block of Blakemore Street ,  Philadelphia ,  Pennsylvania","-75.1763676","40.0579554"
"38","November 15, 2015","Texas","Tennessee Colony","800 block of County Road 2217",5,0,"N/A","800 block of County Road 2217 ,  Tennessee Colony ,  Texas","-95.806857","31.807593"
"39","November 14, 2015","Pennsylvania","Johnstown","1159 Main St",0,4,"N/A","1159 Main St ,  Johnstown ,  Pennsylvania","-78.8833116","40.3435749"
"40","November 13, 2015","Florida","Jacksonville","1300 block of South Shirley Oaks Drive",4,1,"N/A","1300 block of South Shirley Oaks Drive ,  Jacksonville ,  Florida","-81.6074661","30.4650527"
"41","November 9, 2015","Indiana","Indianapolis","400 block of North Beville Ave",2,2,"N/A","400 block of North Beville Ave ,  Indianapolis ,  Indiana","-86.1230294","39.7728656"
"42","November 8, 2015","Iowa","Des Moines","4397 NW 6th Drive",1,3,"N/A","4397 NW 6th Drive ,  Des Moines ,  Iowa","-93.6261735","41.6401802"
"43","November 8, 2015","Michigan","Warren","13859 8 Mile Road",0,4,"N/A","13859 8 Mile Road ,  Warren ,  Michigan","-82.9832519","42.4513095"
"44","November 7, 2015","Colorado","Denver","Bayaud and Bannock",1,3,"N/A","Bayaud and Bannock ,  Denver ,  Colorado","-104.9899697","39.7147978"
"45","November 6, 2015","California","Bakersfield","1000 block of Feliz Drive",0,4,"N/A","1000 block of Feliz Drive ,  Bakersfield ,  California","-118.9895333","35.350331"
"46","November 3, 2015","Florida","Jacksonville","Ella Street and Kings Road",2,3,"N/A","Ella Street and Kings Road ,  Jacksonville ,  Florida","NA","NA"
"47","November 2, 2015","South Carolina","Pendleton","2217 Refuge Road",4,0,"N/A","2217 Refuge Road ,  Pendleton ,  South Carolina","-82.749033","34.64737"
"48","October 28, 2015","Louisiana","Houma","400 block of Morgan Street",1,3,"N/A","400 block of Morgan Street ,  Houma ,  Louisiana","-90.7305463","29.5950081"
"49","October 27, 2015","Texas","Fort Worth","1700 block of Southcrest Drive",0,5,"N/A","1700 block of Southcrest Drive ,  Fort Worth ,  Texas","-97.345196","32.6707729"
"50","October 26, 2015","Indiana","Evansville","711 E Virginia St",0,5,"N/A","711 E Virginia St ,  Evansville ,  Indiana","-87.5544761","37.981738"
"51","October 25, 2015","North Carolina","Four Oaks","2339 Stricklands Crossroads Road",0,5,"N/A","2339 Stricklands Crossroads Road ,  Four Oaks ,  North Carolina","NA","NA"
"52","October 25, 2015","Arizona","Phoenix","Seventh Street and Broadway",1,4,"N/A","Seventh Street and Broadway ,  Phoenix ,  Arizona","NA","NA"
"53","October 25, 2015","District of Columbia","Washington","4300 block of Wheeler Road SE",0,5,"N/A","4300 block of Wheeler Road SE ,  Washington ,  District of Columbia","-76.9881007","38.8325545"
"54","October 24, 2015","South Carolina","Bamberg","682 Dixie Ave.",0,4,"N/A","682 Dixie Ave. ,  Bamberg ,  South Carolina","NA","NA"
"55","October 22, 2015","Tennessee","Nashville","3500 John A. Merritt Blvd",1,3,"N/A","3500 John A. Merritt Blvd ,  Nashville ,  Tennessee","-86.8260896","36.1682498"
"56","October 19, 2015","Illinois","Calumet City","300 Campbell Avenue",0,6,"N/A","300 Campbell Avenue ,  Calumet City ,  Illinois","-87.550872","41.629428"
"57","October 18, 2015","Louisiana","New Orleans","2600 block of Caffin Avenue",0,4,"N/A","2600 block of Caffin Avenue ,  New Orleans ,  Louisiana","-90.011173","29.977196"
"58","October 17, 2015","Indiana","Elkhart","160 Easy Shopping Place",0,4,"N/A","160 Easy Shopping Place ,  Elkhart ,  Indiana","NA","NA"
"59","October 17, 2015","Florida","Fort Myers","2224 First St",1,4,"N/A","2224 First St ,  Fort Myers ,  Florida","-81.8701195","26.6440355"
"60","October 12, 2015","Georgia","Decatur","4731 Glenwood Road",0,4,"N/A","4731 Glenwood Road ,  Decatur ,  Georgia","-84.2243115","33.7369637"
"61","October 10, 2015","Tennessee","Memphis","6135 Mount Moriah Road",0,6,"N/A","6135 Mount Moriah Road ,  Memphis ,  Tennessee","-89.8591924","35.0699688"
"62","October 10, 2015","North Carolina","Charlotte","1900 block of West Boulevard",0,4,"N/A","1900 block of West Boulevard ,  Charlotte ,  North Carolina","-80.889749","35.214263"
"63","October 10, 2015","Illinois","Peoria","2405 N Flora",1,3,"N/A","2405 N Flora ,  Peoria ,  Illinois","-89.6012307","40.7170522"
"64","October 9, 2015","Arizona","Flagstaff","216 E Mountain View Drive",1,3,"N/A","216 E Mountain View Drive ,  Flagstaff ,  Arizona","NA","NA"
"65","October 6, 2015","Maryland","Baltimore","300 block of North Payson Street",0,5,"N/A","300 block of North Payson Street ,  Baltimore ,  Maryland","-76.6488716","39.2919467"
"66","October 2, 2015","Maryland","Baltimore","5400 Reisterstown Road",1,4,"N/A","5400 Reisterstown Road ,  Baltimore ,  Maryland","-76.6883471","39.3460007"
"67","October 1, 2015","Oregon","Roseburg","1140 Umpqua College Rd",10,9,"N/A","1140 Umpqua College Rd ,  Roseburg ,  Oregon","-123.334899","43.291178"
"68","September 28, 2015","Ohio","Cincinnati (Evanston)","1800 block of Hewitt Avenue",0,5,"N/A","1800 block of Hewitt Avenue ,  Cincinnati (Evanston) ,  Ohio","-84.4719926","39.1373897"
"69","September 28, 2015","Illinois","Chicago","300 block of West 42nd Street",3,2,"N/A","300 block of West 42nd Street ,  Chicago ,  Illinois","-87.6337678","41.8181797"
"70","September 28, 2015","Illinois","Chicago","5300 block of South Aberdeen Street",2,3,"N/A","5300 block of South Aberdeen Street ,  Chicago ,  Illinois","-87.65289","41.797707"
"71","September 28, 2015","Ohio","Dayton","1921 Oakridge",0,4,"N/A","1921 Oakridge ,  Dayton ,  Ohio","-84.2358034","39.7584139"
"72","September 27, 2015","Georgia","Greenville","1140 Hill Haven Road",0,10,"N/A","1140 Hill Haven Road ,  Greenville ,  Georgia","-84.72169","33.0383317"
"73","September 27, 2015","Illinois","Chicago","5200 block of South Justine",0,4,"N/A","5200 block of South Justine ,  Chicago ,  Illinois","NA","NA"
"74","September 27, 2015","Missouri","Kansas City","1700 E. 18th St.",0,4,"N/A","1700 E. 18th St. ,  Kansas City ,  Missouri","-94.5619258","39.091355"
"75","September 25, 2015","Illinois","Danville","1300 block of May Street",0,4,"N/A","1300 block of May Street ,  Danville ,  Illinois","-87.6022501","40.1401769"
"76","September 24, 2015","Illinois","Chicago","5100 block of South Morgan Street",0,5,"N/A","5100 block of South Morgan Street ,  Chicago ,  Illinois","-87.6502019","41.8015233"
"77","September 23, 2015","Louisiana","Shreveport","2900 block of Peach Street",0,5,"N/A","2900 block of Peach Street ,  Shreveport ,  Louisiana","-93.8242675","32.5490661"
"78","September 23, 2015","Florida","Fort Myers","Dale Street and Veronica S. Shoemaker Boulevard",0,4,"N/A","Dale Street and Veronica S. Shoemaker Boulevard ,  Fort Myers ,  Florida","-81.8403765","26.6471872"
"79","September 23, 2015","Georgia","Norcross","1300 block of Reddington Lane",1,3,"N/A","1300 block of Reddington Lane ,  Norcross ,  Georgia","NA","NA"
"80","September 20, 2015","Pennsylvania","Philadelphia","900 block of Pratt Street",1,3,"N/A","900 block of Pratt Street ,  Philadelphia ,  Pennsylvania","-75.0928795","40.0308054"
"81","September 20, 2015","Illinois","Chicago","5700 block of South LaSalle",1,5,"N/A","5700 block of South LaSalle ,  Chicago ,  Illinois","-87.6292084","41.7909299"
"82","September 20, 2015","Oklahoma","Tulsa","Pine and Yale",0,6,"N/A","Pine and Yale ,  Tulsa ,  Oklahoma","-95.9224605","36.1771008"
"83","September 19, 2015","Indiana","Indianapolis","3900 block of Graceland Avenue",1,3,"N/A","3900 block of Graceland Avenue ,  Indianapolis ,  Indiana","NA","NA"
"84","September 17, 2015","South Dakota","Geddes","36705 379th Street",6,0,"N/A","36705 379th Street ,  Geddes ,  South Dakota","-98.6044435","43.3152581"
"85","September 17, 2015","Michigan","Albion","500 block of W. Broadwell Street",0,4,"N/A","500 block of W. Broadwell Street ,  Albion ,  Michigan","NA","NA"
"86","September 15, 2015","New Jersey","Newark","Irvine Turner Boulevard and West Kinney Street",0,4,"N/A","Irvine Turner Boulevard and West Kinney Street ,  Newark ,  New Jersey","-74.1892581","40.7321149"
"87","September 13, 2015","Florida","Ocala","1910 South Pine Avenue",1,5,"N/A","1910 South Pine Avenue ,  Ocala ,  Florida","-82.1386808","29.168304"
"88","September 12, 2015","Louisiana","Shreveport","1500 block of Clanton Street",0,4,"N/A","1500 block of Clanton Street ,  Shreveport ,  Louisiana","-93.7608966","32.4580324"
"89","September 12, 2015","New York","Rochester","36 Woodward Street",2,4,"N/A","36 Woodward Street ,  Rochester ,  New York","-77.5993487","43.1644189"
"90","September 12, 2015","Minnesota","Minneapolis","1st Ave. and N. 5th St.",0,6,"N/A","1st Ave. and N. 5th St. ,  Minneapolis ,  Minnesota","-93.2737554","44.9803774"
"91","September 12, 2015","Minnesota","Minneapolis","1200 block of 22nd Ave. N.",1,3,"N/A","1200 block of 22nd Ave. N. ,  Minneapolis ,  Minnesota","-93.2956592","45.0015071"
"92","September 11, 2015","North Carolina","Charlotte","1000 North Carolina Music Factory Blvd.",0,5,"N/A","1000 North Carolina Music Factory Blvd. ,  Charlotte ,  North Carolina","-80.8460599","35.239118"
"93","September 10, 2015","Minnesota","Excelsior (Greenwood)","Channel Drive",5,0,"N/A","Channel Drive ,  Excelsior (Greenwood) ,  Minnesota","-93.5447845","44.9079305"
"94","September 8, 2015","Georgia","Berlin","N/A",0,4,"N/A","N/A ,  Berlin ,  Georgia","NA","NA"
"95","September 8, 2015","Illinois","Chicago","56th and Green",0,4,"N/A","56th and Green ,  Chicago ,  Illinois","-87.6463316","41.7924749"
"96","September 7, 2015","Indiana","Gary","9300 block of Sunrise",2,4,"N/A","9300 block of Sunrise ,  Gary ,  Indiana","-87.225583","41.597053"
"97","September 7, 2015","Colorado","Denver","1909 Blake Street",0,4,"N/A","1909 Blake Street ,  Denver ,  Colorado","-104.9954998","39.7537609"
"98","September 5, 2015","North Carolina","Charlotte","6800 block of Fieldvale Place",1,3,"N/A","6800 block of Fieldvale Place ,  Charlotte ,  North Carolina","-80.9103642","35.1607214"
"99","September 5, 2015","Florida","Daytona Beach","300 block of Pearl Street",0,4,"N/A","300 block of Pearl Street ,  Daytona Beach ,  Florida","-81.0294801","29.2131116"
"100","September 5, 2015","Nevada","Las Vegas","5000 block of Hollywood Boulevard",1,3,"N/A","5000 block of Hollywood Boulevard ,  Las Vegas ,  Nevada","-115.0289456","36.086897"
"101","September 5, 2015","Missouri","Columbia","1509 Ashley Street",0,4,"N/A","1509 Ashley Street ,  Columbia ,  Missouri","-92.3165392","38.9676204"
"102","August 30, 2015","Tennessee","Memphis","3300 block of Sobota Circle",1,4,"N/A","3300 block of Sobota Circle ,  Memphis ,  Tennessee","NA","NA"
"103","August 29, 2015","Tennessee","Bristol","618 Henson Road",3,2,"N/A","618 Henson Road ,  Bristol ,  Tennessee","-82.0950419","36.5752747"
"104","August 29, 2015","Texas","Tyler","638 ENE Loop 323",1,3,"N/A","638 ENE Loop 323 ,  Tyler ,  Texas","NA","NA"
"105","August 28, 2015","New York","Brooklyn","589 Flatbush Avenue",1,3,"N/A","589 Flatbush Avenue ,  Brooklyn ,  New York","-73.9603857","40.6591321"
"106","August 27, 2015","California","Salinas","928 Blanco Circle",2,2,"N/A","928 Blanco Circle ,  Salinas ,  California","-121.6375717","36.6544886"
"107","August 26, 2015","Illinois","Chicago","3025 W. Van Buren Ave",2,2,"N/A","3025 W. Van Buren Ave ,  Chicago ,  Illinois","-87.702034","41.875697"
"108","August 26, 2015","Minnesota","Minneapolis (Brooklyn Center)","5000 block of Drew Avenue North",0,4,"N/A","5000 block of Drew Avenue North ,  Minneapolis (Brooklyn Center) ,  Minnesota","-93.3270926","45.0460614"
"109","August 26, 2015","Florida","West Palm Beach","800 block of 19th Street",2,2,"N/A","800 block of 19th Street ,  West Palm Beach ,  Florida","-80.0594532","26.7318343"
"110","August 25, 2015","Louisiana","New Orleans","Fern Street and Olive Street",1,3,"N/A","Fern Street and Olive Street ,  New Orleans ,  Louisiana","-90.1111943","29.9617748"
"111","August 23, 2015","California","Modesto","1100 block of Kansas Avenue",1,7,"N/A","1100 block of Kansas Avenue ,  Modesto ,  California","NA","NA"
"112","August 22, 2015","Florida","Orlando (Pine Hills)","State Road 408",0,4,"N/A","State Road 408 ,  Orlando (Pine Hills) ,  Florida","-81.4576687","28.5490933"
"113","August 22, 2015","New Mexico","Roswell","302 East Reed Street",3,1,"N/A","302 East Reed Street ,  Roswell ,  New Mexico","-104.518173","33.3814315"
"114","August 21, 2015","North Carolina","Durham","2700 block of Hinson Drive",0,8,"N/A","2700 block of Hinson Drive ,  Durham ,  North Carolina","-78.8780001","36.0298281"
"115","August 21, 2015","Ohio","Cincinnati","Mathis and Prentice",2,5,"N/A","Mathis and Prentice ,  Cincinnati ,  Ohio","-84.390824","39.159499"
"116","August 20, 2015","Texas","Grulla (La Grulla)","FM 2360",2,2,"N/A","FM 2360 ,  Grulla (La Grulla) ,  Texas","NA","NA"
"117","August 19, 2015","New York","Rochester","500 Genesee St",3,4,"N/A","500 Genesee St ,  Rochester ,  New York","-77.6348798","43.1402876"
"118","August 16, 2015","Texas","Fort Worth","3651 Sycamore School Rd",0,6,"N/A","3651 Sycamore School Rd ,  Fort Worth ,  Texas","-97.372308","32.633589"
"119","August 16, 2015","Illinois","Chicago","5400 block of West Division Street",0,4,"N/A","5400 block of West Division Street ,  Chicago ,  Illinois","NA","NA"
"120","August 16, 2015","South Carolina","Bennettsville","Highway 38N",0,5,"N/A","Highway 38N ,  Bennettsville ,  South Carolina","-79.679436","34.6084346"
"121","August 15, 2015","Pennsylvania","Pittsburgh","West Prospect Avenue",1,3,"N/A","West Prospect Avenue ,  Pittsburgh ,  Pennsylvania","NA","NA"
